split,method,customers,recall_at_12,hit_rate_at_12,map_at_12
train_2020-08-19,Candidate order,5000,0.045687321012321,0.0926,0.021261168307482155
train_2020-08-19,LightGBM v5,5000,0.049550612138979024,0.1048,0.02142987624258458
train_2020-08-26,Candidate order,5000,0.045518925378460855,0.0946,0.020429503667628662
train_2020-08-26,LightGBM v5,5000,0.04820884032299345,0.101,0.022267332062117767
train_2020-09-02,Candidate order,5000,0.0555636214279805,0.1092,0.025062027777777763
train_2020-09-02,LightGBM v5,5000,0.05413425196698724,0.1096,0.025268446440023806
validation,Candidate order,10000,0.0563332705311195,0.1094,0.02560387388196013
validation,LightGBM v5,10000,0.05009867593921378,0.0944,0.02311622466171191
