segment,history_days,customers,candidate_recall_150,candidate_hit_rate_150,recall_12,hit_rate_12,map_12
all,28,10000,0.17166207038428533,0.3383,0.05633327053111959,0.1094,0.0256038738819602
all,90,10000,0.17183452040735073,0.3398,0.052032186716534264,0.0984,0.02474969698544401
history_28d,28,4536,0.2107796810134712,0.3873456790123457,0.09744829029685882,0.16909171075837742,0.04888745182635463
history_28d,90,4536,0.21209948970761855,0.3891093474426808,0.09054642732078257,0.1574074074074074,0.046582290613329344
no_history_28d,28,5464,0.13918815350764066,0.29758418740849196,0.02220118238005931,0.059846266471449486,0.006274754270727916
no_history_28d,90,5464,0.1384081110468064,0.2988653001464129,0.020059164135847882,0.049414348462664716,0.006625128043993083
