segment,experiment,customers,candidate_recall_150,candidate_hit_rate_150,recall_12,hit_rate_12,map_12,new_candidates
all,A+B,10000,0.1754426018571984,0.3416,0.04977460929469516,0.1007,0.023879152477152478,6.4757
all,A_category,10000,0.17213502698324204,0.3374,0.04977460929469516,0.1007,0.023895819143819143,3.7656
all,B_variants,10000,0.1750056459242425,0.3423,0.05792861865521769,0.1123,0.025981488311402005,2.7331
all,Reference,10000,0.17166207038428535,0.3383,0.05633327053111957,0.1094,0.025603873881960185,0.0
history_28d,A+B,4536,0.21911418602430247,0.39462081128747795,0.08298916058692847,0.14991181657848324,0.04508515596037642,14.276234567901234
history_28d,A_category,4536,0.21182235429159424,0.3853615520282187,0.08298916058692847,0.14991181657848324,0.045121899052675066,8.301587301587302
history_28d,B_variants,4536,0.21815087929379995,0.39616402116402116,0.10096537169919154,0.17548500881834214,0.04971993513641153,6.025352733686067
history_28d,Reference,4536,0.21077968101347122,0.3873456790123457,0.09744829029685882,0.16909171075837742,0.048887451826354615,0.0
no_history_28d,A+B,5464,0.13918815350764066,0.29758418740849196,0.02220118238005931,0.059846266471449486,0.006274754270727916,0.0
no_history_28d,A_category,5464,0.13918815350764066,0.29758418740849196,0.02220118238005931,0.059846266471449486,0.006274754270727916,0.0
no_history_28d,B_variants,5464,0.13918815350764066,0.29758418740849196,0.02220118238005931,0.059846266471449486,0.006274754270727916,0.0
no_history_28d,Reference,5464,0.13918815350764066,0.29758418740849196,0.02220118238005931,0.059846266471449486,0.006274754270727916,0.0
