method,recall_at_12,hit_rate_at_12,map_at_12
Tuned V6 / merged candidates,0.05620874461697517,0.1081,0.026762355499568905
Tuned V6 / original candidates,0.05620874461697517,0.1081,0.026760408249288326
Variant rule V6,0.05792861865521763,0.1123,0.02598148831140196
V7 / merged candidates + tower features,0.04897816229496331,0.0949,0.023364529956595395
