segment,method,customers,recall_at_12,hit_rate_at_12,map_at_12
all,Variant rule,10000,0.05792861865521763,0.1123,0.02598148831140196
all,LightGBM tuned,10000,0.05620874461697517,0.1081,0.026760408249288326
history_28d,Variant rule,4536,0.1009653716991914,0.17548500881834214,0.04971993513641151
history_28d,LightGBM tuned,4536,0.10183873222244261,0.1801146384479718,0.05013147367941286
no_history_28d,Variant rule,5464,0.02220118238005931,0.059846266471449486,0.0062747542707279206
no_history_28d,LightGBM tuned,5464,0.018328506004530055,0.048316251830161056,0.007358659934675502
