epoch,training_loss
1,1.4215227064263598
2,1.2380788284200253
3,0.9628003693831613
4,0.6624047684183594
5,0.48930425552283624
6,0.39904765713917617
7,0.3431631488019676
8,0.3045940611344704
9,0.27591707860879705
10,0.2543636082892731
11,0.2369302642712841
12,0.22289666011797404
13,0.20984528502211422
14,0.20041777681423656
15,0.19102447629174485
