feature,gain
popularity_rank,39198.45295715332
item_popularity_7d,33072.886821746826
item_popularity_28d,31019.776262283325
tower_score,19974.73507118225
user_item_recency_days,19614.90482711792
covisit_score,2678.9038066864014
covisit_rank,2578.089267730713
variant_rank,2316.2397232055664
repeat_rank,1702.6986770629883
tower_rank,1651.7157821655273
category_affinity,852.950798034668
user_item_purchase_count_28d,195.15789413452148
from_variant,0.0
