split,method,customers,recall_at_12,hit_rate_at_12,map_at_12
train_2020-08-19,Variant rule,5000,0.047269531024531006,0.0928,0.021580549546172917
train_2020-08-19,LightGBM v6,5000,0.054757387001887016,0.1144,0.023250134027608577
train_2020-08-26,Variant rule,5000,0.04547940156893707,0.0946,0.02053184626022123
train_2020-08-26,LightGBM v6,5000,0.05154042598569677,0.1068,0.023901362210540747
train_2020-09-02,Variant rule,5000,0.05721143230990903,0.111,0.02540101034151032
train_2020-09-02,LightGBM v6,5000,0.05927618896278485,0.1164,0.02919504024084381
validation,Variant rule,10000,0.05792861865521763,0.1123,0.02598148831140196
validation,LightGBM v6,10000,0.05530000069148199,0.1073,0.02532590211067586
